MODULE	GENE
grey	PBLD
grey	PPP2R3C
grey	NEDD4L
grey	ZFAND1
grey	MAP7
grey	TPM2
grey	DAPK1
grey	PRKACB
grey	DLD
grey	ZIC1
grey	IPW
grey	ARHGAP12
grey	SH3BP5
grey	SRP54
grey	YME1L1
grey	LRIF1
grey	MFAP2
grey	KCNJ16
grey	CSRP2
grey	SLC25A37
grey	MAN2A1
grey	EMP2
grey	GFPT1
grey	UPK1B
grey	ACSL4
grey	CHST15
grey	RAB11A
grey	ATP2A3
grey	CREBZF
grey	SHMT2
grey	ERO1A
grey	FZD1
grey	TPBG
grey	C1QBP
grey	DNAJC10
grey	MT2A
grey	KLF2
grey	PENK
grey	CCDC169-SOHLH2
grey	SOHLH2
grey	MARCHF7
grey	LYPLA1
grey	LPAR1
grey	YWHAZ
grey	FZD7
grey	WWTR1
grey	RAB27A
grey	SLC3A1
grey	HEY1
grey	MEX3D
grey	ALDH2
grey	TMED2
grey	MFHAS1
grey	LDOC1
grey	ZNF750
grey	RPH3AL
grey	SNX7
grey	BTG2
grey	HMGN3
grey	LINC02802
grey	LSP1P4
grey	LSP1P5
grey	CDC42
grey	TMEM100
grey	MSMO1
grey	CEBPD
grey	TAF1D
grey	PGCKA1
grey	IVNS1ABP
grey	RBP1
grey	RDX
grey	DDX60
grey	GSPT2
grey	FAM149A
grey	FOXA2
grey	TJP2
grey	NR3C1
grey	N4BP2L2
grey	HSP90B1
grey	UBR5
grey	STK17A
grey	AQP5
grey	LRIG1
grey	COBL
grey	MTMR11
grey	CAST
grey	GNA14
grey	LGALS1
grey	ARMCX2
grey	MID1
grey	TRIM68
grey	KRT14
grey	PIP5K1B
grey	SPON1
grey	CREB3L1
grey	STRN3
grey	IFNGR1
grey	SPDEF
grey	RFK
grey	NXT2
grey	ZSCAN18
grey	TRAF5
grey	GP2
grey	AP5M1
grey	PLSCR1
grey	BTG3
grey	MAGED4
grey	MAGED4B
grey	PER2
grey	SFRP1
grey	DSC2
grey	ZFP36L2
grey	TSPY1
grey	TSPY10
grey	TSPY2
grey	TSPY3
grey	TSPY4
grey	TSPY8
grey	GRB10
grey	SPON2
grey	BZW1
grey	PITX1
grey	RAB31
grey	SCP2
grey	BHLHE40
grey	ADCY7
grey	RSL24D1
grey	FLNA
grey	ABHD2
grey	CHI3L2
grey	PIGA
grey	BGN
grey	CYP2C18
grey	PTPRE
grey	CALML4
grey	MBD4
grey	VWF
grey	RGS16
grey	MDFIC
grey	NR4A3
grey	NFIL3
grey	KLK13
grey	ANKRD46
grey	TRIB2
grey	SS18
grey	LAMP2
grey	FN1
grey	TUBB6
grey	LAMA4
grey	SH3BGRL
grey	HMGB3P1
grey	ZNF146
grey	PDLIM3
grey	HSPA13
grey	CNIH4
grey	PTPRN2
grey	PLSCR4
grey	EGLN3
grey	SMARCA5
grey	GNAI1
grey	CDCP1
grey	FUT2
grey	PPP1R3C
grey	PRKCZ
grey	FOXF2
grey	BIK
grey	RANBP6
grey	ARHGAP5
grey	GTPBP4
grey	MIR22HG
grey	CD36
grey	FSTL1
grey	EPHA3
grey	EPB41L4B
grey	FXYD5
grey	EIF5
grey	CDC50A
grey	COX7A2
grey	SUB1
grey	ETV5
grey	GALNT1
grey	TMX4
grey	NAP1L1
grey	SRP72
grey	ALG13
grey	GALC
grey	APPAT
grey	LOC100506076
grey	REEP5
grey	PKN2
grey	ZNHIT6
grey	ZNF204P
grey	CHPT1
grey	TSPAN3
grey	TSPAN6
grey	PDGFD
grey	ABCC2
grey	SLCO2A1
grey	BOP1
grey	CAVIN2
grey	HMGCS2
grey	PCOLCE2
grey	DAAM1
grey	LGALS2
grey	PDK4
grey	ADAM10
grey	VAMP3
grey	H3C10
grey	PITPNC1
grey	ID2
grey	ETNPPL
grey	SEH1L
grey	MCCC1
grey	CD207
grey	SDC1
grey	SLC30A1
grey	GLRX
grey	CELF2
grey	NRG1
grey	CDKN1C
grey	IKBKB
grey	KLF9
grey	LRRC40
grey	COL4A2
grey	LIF
grey	NRXN3
grey	IL13RA2
grey	RFTN1
grey	CD58
grey	GC
grey	COL6A3
grey	UAP1
grey	MYBL1
grey	APP
grey	GALNT14
grey	ATP2C1
grey	CRIM1
grey	JMJD1C
grey	HTRA1
grey	NCOA2
grey	CHD1
grey	KANK1
grey	PRUNE2
grey	LMO4
grey	ID3
grey	VEGFC
grey	ACKR1
grey	SEPTIN10
grey	TXN
grey	AVL9
grey	SLCO3A1
grey	SEL1L3
grey	ATF1
grey	PIP
grey	SVIL
grey	EIF2AK3
grey	RAD21
grey	DTX4
grey	TPM4
grey	ALDH3B1
grey	FUBP1
grey	ZMYM2
grey	PTER
grey	PPP1R12A
grey	HSPB1
grey	ARMC1
grey	SLC35G2
grey	SSR1
grey	CAND1
grey	NUDT4
grey	NUDT4B
grey	NUDT4P2
grey	MYCN
grey	CST4
grey	TGFBR2
grey	FAM107A
grey	ADK
grey	CD59
grey	CKLF
grey	CKLF-CMTM1
grey	ZFPM2
grey	TKTL1
grey	DHX40
grey	ECI2
grey	CYBRD1
grey	SYCP2
grey	ENO3
grey	SCARB2
grey	EXPH5
grey	COPS2
grey	CLK4
grey	TMEM123
grey	ARL14
grey	OSBPL9
grey	GAS6
grey	SCAF11
grey	EIF1AX
grey	PJA2
grey	RNF13
grey	DENND1B
grey	HSPH1
grey	AIMP1
grey	LYSET
grey	GDE1
grey	ZNF292
grey	KHDRBS3
grey	DICER1
grey	IL1R1
grey	ANG
grey	RALGAPA1P1
grey	UFL1
grey	EFHC1
grey	SET
grey	MBP
grey	PPBP
grey	TOX
grey	TMX1
grey	EPHA2
grey	TBL1X
grey	HS2ST1
grey	DMXL1
grey	MT1H
grey	TVP23B
grey	MAL
grey	HERC6
grey	FUT9
grey	SDC4
grey	SCRN1
grey	PIK3R3
grey	GSDME
grey	MIA
grey	LHFPL6
grey	HES1
grey	USP9Y
grey	TNIK
grey	CHORDC1
grey	CD9
grey	APOB
grey	FGFBP1
grey	SWAP70
grey	ACSM3
grey	AMMECR1
grey	SMAD1
grey	CAPN9
grey	GAREM1
grey	VILL
grey	IL33
grey	ARHGAP8
grey	PRR5-ARHGAP8
grey	PICALM
grey	FMO3
grey	EDEM3
grey	POT1
grey	AMFR
grey	DEPP1
grey	EMILIN1
grey	INSIG2
grey	LBH
grey	OSBPL1A
grey	PDCD4
grey	SLC11A2
grey	CHSY1
grey	MAN1A1
grey	HSP90AA1
grey	MEIS2
grey	RIPOR2
grey	FASTKD3
grey	CEL
grey	DDX3X
grey	EIF3M
grey	LSM14A
grey	PAM
grey	SPAG16
grey	SQOR
grey	MAP4K5
grey	SUN1
grey	MEF2C
grey	PHYH
grey	SLC27A3
grey	KRAS
grey	UPF3B
grey	PTPRK
grey	TMED7
grey	BICC1
grey	CHD7
grey	CR2
grey	PLPPR1
grey	TRIB1
grey	RAB38
grey	RNFT2
grey	MYO1D
grey	RYBP
grey	MANSC1
grey	EFR3A
grey	PRELP
grey	DAAM2
grey	PLCB4
grey	SEC62
grey	CHST1
grey	PPP3CA
grey	KRT16
grey	RAMP1
grey	TYMP
grey	MOSPD1
grey	BIRC2
grey	NXN
grey	RHBDL2
grey	SUCO
grey	TSPAN4
grey	RAPGEF5
grey	TP53
grey	RAB1A
grey	PTGES
grey	ITPR3
grey	RCAN1
grey	PYROXD1
grey	PPM1H
grey	PHKB
grey	MREG
grey	SLC46A3
grey	ANKRD10
grey	WWP1
grey	FERMT2
grey	DNAJB9
grey	NCK1
grey	IGFBP4
grey	HTATSF1
grey	CCDC91
grey	PNMA1
grey	PDGFA
grey	GOLGA8B
grey	H2AC8
