"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CEACAM6",-1.09170757821512,11.3377223099467,-3.97915836836508,9.22916017077189e-05,0.000357664973238418,0.644908608135945
"S100A8",1.09030964447376,9.07672722830295,4.28826267140373,2.63505193258062e-05,0.000117636246990206,1.82978504105545
"ADAMDEC1",1.08333351015084,6.80419071609133,5.83837700542344,1.75068048760468e-08,1.52233085878667e-07,8.85243511893073
"KCNJ15",-1.07989901832393,6.80695800551555,-6.12464987022677,3.81283216635372e-09,3.8001649498542e-08,10.3292919069244
"COL1A2",1.07520669584865,10.9810623807993,8.04485140933126,4.32276959383641e-14,1.12767902447906e-12,21.4341769495622
"PTCH1",-1.07220390640104,5.83750385606057,-9.43216511322259,4.17278867804712e-18,2.05219115313793e-16,30.4999368413859
"MCM6",1.07180669083616,8.71122691677173,11.4652349964065,1.92894196869322e-24,4.82235492173304e-22,44.8390336603777
"ATP8A1",-1.06994899469674,6.72640378640694,-7.42485789125324,2.0915344061471e-12,3.97126785977298e-11,17.6407753724523
"PFKP",1.06761353145012,9.00163234934902,7.68776684061972,4.12440321782996e-13,9.23373854738052e-12,19.2274537962433
"RFC4",1.06425194715173,7.66430772821298,8.98576908762159,8.8205411273791e-17,3.62487991536127e-15,27.5053134936846
"PNMA2",-1.05689929193142,7.32129721884727,-5.29209067733458,2.78076892111358e-07,1.92662612006214e-06,6.182744303869
"STC1",1.05673209998323,6.94421619855221,7.135350004261,1.20265443601194e-11,1.89892805686095e-10,15.9331561672548
"PDZD2",-1.04645705138184,5.30787498000262,-7.48799854421944,1.42042982040038e-12,2.78515651058899e-11,18.0187817913081
"TOX3",-1.04485787852009,6.44678322650576,-4.02723931427102,7.63053613926612e-05,0.000300021080180844,0.824176898607859
"MTHFD2",1.04383148080773,9.12005743045813,9.29881509089405,1.04528770674623e-17,4.75130775793741e-16,29.598396315545
"ZBTB16",-1.0436341881036,6.16355627422973,-7.71302978427256,3.52266544955162e-13,8.00605783989006e-12,19.381654579191
"DTL",1.03835022664427,6.68949591275496,9.37387649784203,6.23809912587977e-18,2.97052339327608e-16,30.1051573005515
"SOD2",1.03751131347734,8.24371536804597,7.41690537036014,2.19569101900928e-12,4.09134972486201e-11,17.5933049450166
"SOD2-OT1",1.03751131347734,8.24371536804597,7.41690537036014,2.19569101900928e-12,4.09134972486201e-11,17.5933049450166
"IDO1",1.03339058307133,8.18715376296738,6.47037882624837,5.66931676340551e-10,6.49158408023531e-09,12.1801580741654
"MUC5AC",-1.03099727229744,6.35568424012578,-4.56285324745207,8.15063632533039e-06,4.03496847788633e-05,2.94549036840158
"ARSL",-1.03093479846289,6.40118655096684,-7.11948252965228,1.32206215958987e-11,2.05501890091689e-10,15.8408066143831
"WFDC2",-1.03011596498598,10.1522938673581,-5.93941132221334,1.02817429265163e-08,9.37544947706656e-08,9.36774131883002
"SLC7A5",1.02927206520427,8.6372029193391,7.23386815709423,6.66275767503962e-12,1.12293668680443e-10,16.5094602231652
"ABCA8",-1.02545921651859,5.29521870380154,-8.38733543040756,4.72003271396389e-15,1.41600981418917e-13,23.6031008448906
"SLC4A4",-1.02336818114037,6.32972061577546,-5.78866227499538,2.26949972016708e-08,1.92330484759922e-07,8.60128567933174
"COL3A1",1.01827990604641,11.8146386177571,7.5286635031945,1.10599987511575e-12,2.2119997502315e-11,18.2632642651742
"LIMCH1",-1.01782701531301,7.86630602844463,-5.64314065685927,4.80839607506711e-08,3.83648623010674e-07,7.87541137339137
"MAGEA12",1.01463794257903,5.23534865782924,4.29958978029679,2.51331484268343e-05,0.000112873421078597,1.8746479951865
"PRODH",-1.01332018854889,8.34197064035994,-5.67157366131843,4.15670534814237e-08,3.34319464998046e-07,8.01614220179241
"PLA2G1B",-1.01204375076204,5.54037264481459,-9.39591208211138,5.35908932532429e-18,2.59310773806014e-16,30.254272730117
"FRY",-1.01155017854889,6.82114637384875,-8.39410111893307,4.51580603557424e-15,1.36842607138613e-13,23.6464394798912
"FOXA2",-1.00995250435789,6.89900119455984,-9.86651139711426,2.01869760087519e-19,1.12149866715289e-17,33.4746610253278
"ADM",1.00712036813173,7.69657571557855,6.41946496755004,7.53895644698651e-10,8.47073758088372e-09,11.903106909453
"BUB1",1.00559170495608,6.03578913857116,10.6608367668346,6.95087244381185e-22,6.72665075207599e-20,39.0489639208813
"AQP1",-1.00227766308432,8.92220303504855,-5.07017849317466,8.0831507918374e-07,5.01021743295707e-06,5.15677013746562
"CCNA2",1.00031850227876,6.23913632404045,11.0269416636836,4.84493865211365e-23,7.64990313491629e-21,41.6682402868723
"TTK",1.00030481970532,5.55173587688924,9.59120058022033,1.38561809575127e-18,7.16699015043759e-17,31.5825097979739
